Abbreviation,TeamName,Q1,Q2,Q3,Position,Race
COL,Williams,0 days 00:01:33.746000,0 days 00:01:33.749000,,14.0,Las Vegas Grand Prix
LAW,RB,0 days 00:01:34.087000,0 days 00:01:34.257000,,15.0,Las Vegas Grand Prix
PER,Red Bull Racing,0 days 00:01:34.155000,,,16.0,Las Vegas Grand Prix
ALO,Aston Martin,0 days 00:01:34.258000,,,17.0,Las Vegas Grand Prix
ALB,Williams,0 days 00:01:34.425000,,,18.0,Las Vegas Grand Prix
BOT,Kick Sauber,0 days 00:01:34.430000,,,19.0,Las Vegas Grand Prix
STR,Aston Martin,0 days 00:01:34.484000,,,20.0,Las Vegas Grand Prix
VER,Red Bull Racing,0 days 00:01:21.579000,0 days 00:01:20.687000,0 days 00:01:20.520000,1.0,Qatar Grand Prix
RUS,Mercedes,0 days 00:01:21.241000,0 days 00:01:21.069000,0 days 00:01:20.575000,2.0,Qatar Grand Prix
NOR,McLaren,0 days 00:01:21.578000,0 days 00:01:20.983000,0 days 00:01:20.772000,3.0,Qatar Grand Prix
PIA,McLaren,0 days 00:01:21.821000,0 days 00:01:21.121000,0 days 00:01:20.829000,4.0,Qatar Grand Prix
LEC,Ferrari,0 days 00:01:21.278000,0 days 00:01:21,0 days 00:01:20.852000,5.0,Qatar Grand Prix
HAM,Mercedes,0 days 00:01:21.637000,0 days 00:01:21.095000,0 days 00:01:21.011000,6.0,Qatar Grand Prix
SAI,Ferrari,0 days 00:01:21.447000,0 days 00:01:21.199000,0 days 00:01:21.041000,7.0,Qatar Grand Prix
ALO,Aston Martin,0 days 00:01:21.608000,0 days 00:01:21.208000,0 days 00:01:21.251000,8.0,Qatar Grand Prix
PER,Red Bull Racing,0 days 00:01:21.675000,0 days 00:01:21.425000,0 days 00:01:21.425000,9.0,Qatar Grand Prix
MAG,Haas F1 Team,0 days 00:01:21.891000,0 days 00:01:21.387000,0 days 00:01:21.500000,10.0,Qatar Grand Prix
GAS,Alpine,0 days 00:01:21.843000,0 days 00:01:21.437000,,11.0,Qatar Grand Prix
ZHO,Kick Sauber,0 days 00:01:22.103000,0 days 00:01:21.501000,,12.0,Qatar Grand Prix
BOT,Kick Sauber,0 days 00:01:21.927000,0 days 00:01:21.731000,,13.0,Qatar Grand Prix
TSU,RB,0 days 00:01:22.364000,0 days 00:01:21.771000,,14.0,Qatar Grand Prix
STR,Aston Martin,0 days 00:01:22.011000,0 days 00:01:21.911000,,15.0,Qatar Grand Prix
ALB,Williams,0 days 00:01:22.390000,,,16.0,Qatar Grand Prix
LAW,RB,0 days 00:01:22.411000,,,17.0,Qatar Grand Prix
HUL,Haas F1 Team,0 days 00:01:22.442000,,,18.0,Qatar Grand Prix
COL,Williams,0 days 00:01:22.594000,,,19.0,Qatar Grand Prix
OCO,Alpine,0 days 00:01:22.714000,,,20.0,Qatar Grand Prix
NOR,McLaren,0 days 00:01:23.682000,0 days 00:01:23.098000,0 days 00:01:22.595000,1.0,Abu Dhabi Grand Prix
PIA,McLaren,0 days 00:01:23.640000,0 days 00:01:23.199000,0 days 00:01:22.804000,2.0,Abu Dhabi Grand Prix
SAI,Ferrari,0 days 00:01:23.487000,0 days 00:01:22.985000,0 days 00:01:22.824000,3.0,Abu Dhabi Grand Prix
HUL,Haas F1 Team,0 days 00:01:23.722000,0 days 00:01:23.040000,0 days 00:01:22.886000,4.0,Abu Dhabi Grand Prix
VER,Red Bull Racing,0 days 00:01:23.516000,0 days 00:01:22.998000,0 days 00:01:22.945000,5.0,Abu Dhabi Grand Prix
GAS,Alpine,0 days 00:01:23.548000,0 days 00:01:23.086000,0 days 00:01:22.984000,6.0,Abu Dhabi Grand Prix
RUS,Mercedes,0 days 00:01:23.678000,0 days 00:01:23.283000,0 days 00:01:23.132000,7.0,Abu Dhabi Grand Prix
ALO,Aston Martin,0 days 00:01:23.794000,0 days 00:01:23.268000,0 days 00:01:23.196000,8.0,Abu Dhabi Grand Prix
BOT,Kick Sauber,0 days 00:01:23.481000,0 days 00:01:23.341000,0 days 00:01:23.204000,9.0,Abu Dhabi Grand Prix
PER,Red Bull Racing,0 days 00:01:23.559000,0 days 00:01:23.379000,0 days 00:01:23.264000,10.0,Abu Dhabi Grand Prix
TSU,RB,0 days 00:01:23.735000,0 days 00:01:23.419000,,11.0,Abu Dhabi Grand Prix
LAW,RB,0 days 00:01:23.733000,0 days 00:01:23.472000,,12.0,Abu Dhabi Grand Prix
STR,Aston Martin,0 days 00:01:23.729000,0 days 00:01:23.784000,,13.0,Abu Dhabi Grand Prix
LEC,Ferrari,0 days 00:01:23.302000,0 days 00:01:23.833000,,14.0,Abu Dhabi Grand Prix
MAG,Haas F1 Team,0 days 00:01:23.632000,0 days 00:01:23.877000,,15.0,Abu Dhabi Grand Prix
ALB,Williams,0 days 00:01:23.821000,,,16.0,Abu Dhabi Grand Prix
ZHO,Kick Sauber,0 days 00:01:23.880000,,,17.0,Abu Dhabi Grand Prix
HAM,Mercedes,0 days 00:01:23.887000,,,18.0,Abu Dhabi Grand Prix
COL,Williams,0 days 00:01:23.912000,,,19.0,Abu Dhabi Grand Prix
DOO,Alpine,0 days 00:01:24.105000,,,20.0,Abu Dhabi Grand Prix
